,0,1,2,3,4,5,
 
,Estimate(Std. Err.),p,Estimate(Std. Err.),p,Estimate(Std. Err.),p,Estimate(Std. Err.),p,Estimate(Std. Err.),p,Estimate(Std. Err.),p,

,Regression Slopes,
ind.fwest,,,,,,,,,-0.00{(0.00)},,0.00{(0.00)},.250,

ind.fnonwest,,,,,,,,,-0.00{(0.00)},,0.01{(0.00)},.058,

tot.mwest,,,,,,,,,0.04{(0.03)},.182,0.04{(0.03)},.183,

tot.mnonwest,,,,,,,,,0.04{(0.03)},.153,0.04{(0.03)},.115,

tot.fsex,,,,,,,,,0.16{(0.01)}**,.000,0.16{(0.01)}**,.000,

tot.fwest,,,,,,,,,0.21{(0.04)}**,.000,0.22{(0.04)}**,.000,

tot.fnonwest,,,,,,,,,0.19{(0.03)}**,.000,0.20{(0.03)}**,.000,

,Fit Indices,

chi^2,0.00(0) ,,0.00(0) ,,61.12(5)**,.000,50.08(2)**,.000,61.89(7)**,.000,50.66(2)**,.000,

CFI,1.00,,1.00,,0.99,,0.99,,0.99,,0.99,,

TLI,1.00,,1.00,,0.96,,0.92,,0.97,,0.90,,

RMSEA,0.00,,0.00,,0.06,,0.09,,0.05,,0.09,,

_BOML10_+Fixed parameter,
_BOML10_*p<0.05, **p<0.01, **p<0.001,



